review,rating,date,bank,source
account not raning,5,2026-03-03,CBE Bank,Google Play
sestem esy,1,2026-03-03,CBE Bank,Google Play
I couldn't pay/transfer to my loan account. Would you mind updating your system?,3,2026-03-03,CBE Bank,Google Play
Your app is not working for android version 8. pls make it available!!,2,2026-03-03,CBE Bank,Google Play
Excellent,5,2026-03-03,CBE Bank,Google Play
Good,5,2026-03-03,CBE Bank,Google Play
bad,1,2026-03-02,CBE Bank,Google Play
nic,5,2026-03-02,CBE Bank,Google Play
"WOW, The bank I trust most",5,2026-03-02,CBE Bank,Google Play
"I’m really glad you find the app useful, secure, and reliable.",5,2026-03-02,CBE Bank,Google Play
wonderful,5,2026-03-02,CBE Bank,Google Play
good,5,2026-03-02,CBE Bank,Google Play
good application thanks very much,5,2026-03-02,CBE Bank,Google Play
very good,5,2026-03-02,CBE Bank,Google Play
unbile to connect eyale aschegeren,1,2026-03-01,CBE Bank,Google Play
it doesn't work,1,2026-03-01,CBE Bank,Google Play
